line_code,section,label,amount_eur,source_jo,source_annex,line_ref_jo,line_ref_annex
1707,fiscal,Contribution de sécurité immobilière,814607244,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1711,fiscal,Autres conventions et actes civils,586128882,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1712,fiscal,Actes judiciaires et extrajudiciaires,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1713,fiscal,Taxe de publicité foncière,617316900,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1714,fiscal,Prélèvement sur les sommes versées par les organismes d’assurance et assimilés à raison des contrats d’assurance en cas de décès,478273006,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1715,fiscal,Taxe additionnelle au droit de bail,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1716,fiscal,Recettes diverses et pénalités,322226234,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1721,fiscal,Timbre unique,495000000,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1722,fiscal,Taxe sur les véhicules de société,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1723,fiscal,Actes et écrits assujettis au timbre de dimension,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1725,fiscal,Permis de chasser,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1726,fiscal,Produit de la taxe additionnelle à la taxe sur les certifications d’immatriculation des véhicules,1270000000,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1751,fiscal,Droits d’importation,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1752,fiscal,Contribution sur la rente inframarginale de la production d’électricité,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1754,fiscal,Autres droits et recettes accessoires,4530152,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1755,fiscal,Amendes et confiscations,42903860,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1756,fiscal,Taxe générale sur les activités polluantes,1273000000,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1757,fiscal,Cotisation à la production sur les sucres,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1758,fiscal,Droit de licence sur la rémunération des débitants de tabac,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1761,fiscal,Taxe et droits de consommation sur les tabacs,78000000,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1766,fiscal,Garantie des matières d’or et d’argent,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1768,fiscal,Taxe spéciale sur certains véhicules routiers,176500433,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1769,fiscal,Autres droits et recettes à différents titres,194326520,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1773,fiscal,Taxe sur les achats de viande,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1774,fiscal,Taxe spéciale sur la publicité télévisée,0,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
1776,fiscal,Redevances sanitaires d’abattage et de découpage,49327696,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000053508155,https://www.assemblee-nationale.fr/dyn/docs/PRJLANR5L17BTA0227.raw
